term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,p_stem
rightfully,5,3.646254931559795e-05,14.743225042066996,10,RB,1,{'RB'},0,right
votes,5,3.646254931559795e-05,14.743225042066996,5,NNS,1,{'NNS'},0,vote
threatens,5,3.646254931559795e-05,14.743225042066996,9,VBZ,1,{'VBZ'},0,threaten
economical,5,3.646254931559795e-05,14.743225042066996,10,JJ,1,{'JJ'},0,econom
mandate,5,3.646254931559795e-05,14.743225042066996,7,NN,1,{'NN'},0,mandat
contribution,5,3.646254931559795e-05,14.743225042066996,12,NN,1,{'NN'},0,contribut
inspiring,5,3.646254931559795e-05,14.743225042066996,9,JJ,3,"{'NN', 'VBG', 'JJ'}",0,inspir
scope,5,3.646254931559795e-05,14.743225042066996,5,NN,1,{'NN'},0,scope
designed,5,3.646254931559795e-05,14.743225042066996,8,VBN,1,{'VBN'},0,design
cordial,5,3.646254931559795e-05,14.743225042066996,7,JJ,2,"{'NN', 'JJ'}",0,cordial
transmit,5,3.646254931559795e-05,14.743225042066996,8,VB,1,{'VB'},0,transmit
demonstrated,5,3.646254931559795e-05,14.743225042066996,12,VBD,3,"{'VBD', 'VBN', 'JJ'}",0,demonstr
attainments,5,3.646254931559795e-05,14.743225042066996,11,NNS,1,{'NNS'},0,attain
traditions,5,3.646254931559795e-05,14.743225042066996,10,NNS,1,{'NNS'},0,tradit
exception,5,3.646254931559795e-05,14.743225042066996,9,NN,1,{'NN'},0,except
utter,5,3.646254931559795e-05,14.743225042066996,5,JJ,4,"{'VB', 'RB', 'VBP', 'JJ'}",0,utter
colored,5,3.646254931559795e-05,14.743225042066996,7,JJ,2,"{'VBN', 'JJ'}",0,color
fitting,5,3.646254931559795e-05,14.743225042066996,7,VBG,3,"{'NN', 'VBG', 'JJ'}",0,fit
indebted,5,3.646254931559795e-05,14.743225042066996,8,JJ,2,"{'VBN', 'JJ'}",0,indebt
wave,5,3.646254931559795e-05,14.743225042066996,4,NN,2,"{'NN', 'VBP'}",0,wave
unlawful,5,3.646254931559795e-05,14.743225042066996,8,JJ,1,{'JJ'},0,unlaw
commence,5,3.646254931559795e-05,14.743225042066996,8,NN,3,"{'NN', 'VBP', 'VB'}",0,commenc
factories,5,3.646254931559795e-05,14.743225042066996,9,NNS,1,{'NNS'},0,factori
distributed,5,3.646254931559795e-05,14.743225042066996,11,VBN,2,"{'VBD', 'VBN'}",0,distribut
harmonious,5,3.646254931559795e-05,14.743225042066996,10,JJ,1,{'JJ'},0,harmoni
space,5,3.646254931559795e-05,14.743225042066996,5,NN,1,{'NN'},0,space
farmers,5,3.646254931559795e-05,14.743225042066996,7,NNS,1,{'NNS'},0,farmer
barriers,5,3.646254931559795e-05,14.743225042066996,8,NNS,1,{'NNS'},0,barrier
threaten,5,3.646254931559795e-05,14.743225042066996,8,VB,2,"{'VB', 'VBP'}",0,threaten
immigration,5,3.646254931559795e-05,14.743225042066996,11,NN,1,{'NN'},0,immigr
lived,5,3.646254931559795e-05,14.743225042066996,5,VBN,1,{'VBN'},0,live
seldom,5,3.646254931559795e-05,14.743225042066996,6,RB,3,"{'NN', 'RB', 'VBP'}",0,seldom
ashamed,5,3.646254931559795e-05,14.743225042066996,7,VBN,2,"{'VBD', 'VBN'}",0,asham
charity,5,3.646254931559795e-05,14.743225042066996,7,NN,1,{'NN'},0,chariti
funds,5,3.646254931559795e-05,14.743225042066996,5,NNS,1,{'NNS'},0,fund
veneration,5,3.646254931559795e-05,14.743225042066996,10,NN,1,{'NN'},0,vener
key,5,3.646254931559795e-05,14.743225042066996,3,NN,1,{'NN'},0,key
wrought,5,3.646254931559795e-05,14.743225042066996,7,VBN,3,"{'NN', 'VBD', 'VBN'}",0,wrought
secures,5,3.646254931559795e-05,14.743225042066996,7,VBZ,2,"{'VBZ', 'NNS'}",0,secur
passage,5,3.646254931559795e-05,14.743225042066996,7,NN,1,{'NN'},0,passag
largest,5,3.646254931559795e-05,14.743225042066996,7,JJS,1,{'JJS'},0,largest
level,5,3.646254931559795e-05,14.743225042066996,5,NN,2,"{'NN', 'VB'}",0,level
size,5,3.646254931559795e-05,14.743225042066996,4,NN,1,{'NN'},0,size
revived,5,3.646254931559795e-05,14.743225042066996,7,VBN,1,{'VBN'},0,reviv
claimed,5,3.646254931559795e-05,14.743225042066996,7,VBN,2,"{'VBD', 'VBN'}",0,claim
adjusted,5,3.646254931559795e-05,14.743225042066996,8,VBN,2,"{'VBD', 'VBN'}",0,adjust
restraints,5,3.646254931559795e-05,14.743225042066996,10,NNS,1,{'NNS'},0,restraint
transferred,5,3.646254931559795e-05,14.743225042066996,11,VBN,1,{'VBN'},0,transfer
morality,5,3.646254931559795e-05,14.743225042066996,8,NN,1,{'NN'},0,moral
appeals,5,3.646254931559795e-05,14.743225042066996,7,NNS,1,{'NNS'},0,appeal
unprecedented,5,3.646254931559795e-05,14.743225042066996,13,JJ,1,{'JJ'},0,unpreced
unmistakable,5,3.646254931559795e-05,14.743225042066996,12,JJ,1,{'JJ'},0,unmistak
treated,5,3.646254931559795e-05,14.743225042066996,7,VBN,2,"{'VBD', 'VBN'}",0,treat
defeat,5,3.646254931559795e-05,14.743225042066996,6,NN,2,"{'NN', 'VB'}",0,defeat
vicious,5,3.646254931559795e-05,14.743225042066996,7,JJ,1,{'JJ'},0,viciou
feed,5,3.646254931559795e-05,14.743225042066996,4,VB,3,"{'VB', 'VBD', 'VBP'}",0,feed
patriots,5,3.646254931559795e-05,14.743225042066996,8,NNS,1,{'NNS'},0,patriot
head,5,3.646254931559795e-05,14.743225042066996,4,NN,1,{'NN'},0,head
correction,5,3.646254931559795e-05,14.743225042066996,10,NN,1,{'NN'},0,correct
goes,5,3.646254931559795e-05,14.743225042066996,4,VBZ,1,{'VBZ'},0,goe
pressing,5,3.646254931559795e-05,14.743225042066996,8,VBG,2,"{'NN', 'VBG'}",0,press
controversy,5,3.646254931559795e-05,14.743225042066996,11,NN,1,{'NN'},0,controversi
anarchy,5,3.646254931559795e-05,14.743225042066996,7,NN,2,"{'NN', 'VB'}",0,anarchi
watching,5,3.646254931559795e-05,14.743225042066996,8,VBG,2,"{'NN', 'VBG'}",0,watch
communication,5,3.646254931559795e-05,14.743225042066996,13,NN,1,{'NN'},0,commun
sons,5,3.646254931559795e-05,14.743225042066996,4,NNS,1,{'NNS'},0,son
fields,5,3.646254931559795e-05,14.743225042066996,6,NNS,1,{'NNS'},0,field
stopped,5,3.646254931559795e-05,14.743225042066996,7,VBN,2,"{'VBD', 'VBN'}",0,stop
defenses,5,3.646254931559795e-05,14.743225042066996,8,NNS,1,{'NNS'},0,defens
servitude,5,3.646254931559795e-05,14.743225042066996,9,NN,1,{'NN'},0,servitud
expanded,5,3.646254931559795e-05,14.743225042066996,8,JJ,3,"{'VBD', 'VBN', 'JJ'}",0,expand
cold,5,3.646254931559795e-05,14.743225042066996,4,JJ,3,"{'NN', 'NNP', 'JJ'}",0,cold
later,5,3.646254931559795e-05,14.743225042066996,5,RB,2,"{'RB', 'JJ'}",0,later
laboring,5,3.646254931559795e-05,14.743225042066996,8,VBG,1,{'VBG'},0,labor
night,5,3.646254931559795e-05,14.743225042066996,5,NN,1,{'NN'},0,night
aggregate,5,3.646254931559795e-05,14.743225042066996,9,NN,2,"{'NN', 'JJ'}",0,aggreg
uphold,5,3.646254931559795e-05,14.743225042066996,6,VB,1,{'VB'},0,uphold
imperatively,5,3.646254931559795e-05,14.743225042066996,12,RB,1,{'RB'},0,imper
fault,5,3.646254931559795e-05,14.743225042066996,5,NN,1,{'NN'},0,fault
safeguard,5,3.646254931559795e-05,14.743225042066996,9,NN,3,"{'NN', 'VBD', 'VB'}",0,safeguard
streets,5,3.646254931559795e-05,14.743225042066996,7,NNS,1,{'NNS'},0,street
potential,5,3.646254931559795e-05,14.743225042066996,9,JJ,2,"{'NN', 'JJ'}",0,potenti
doubts,5,3.646254931559795e-05,14.743225042066996,6,NNS,2,"{'NNS', 'VB'}",0,doubt
extinguished,5,3.646254931559795e-05,14.743225042066996,12,VBN,2,"{'VBD', 'VBN'}",0,extinguish
administrative,5,3.646254931559795e-05,14.743225042066996,14,JJ,1,{'JJ'},0,administr
statutes,5,3.646254931559795e-05,14.743225042066996,8,NNS,1,{'NNS'},0,statut
preparing,5,3.646254931559795e-05,14.743225042066996,9,VBG,1,{'VBG'},0,prepar
indicated,5,3.646254931559795e-05,14.743225042066996,9,VBN,1,{'VBN'},0,indic
precedent,5,3.646254931559795e-05,14.743225042066996,9,NN,1,{'NN'},0,preced
scientific,5,3.646254931559795e-05,14.743225042066996,10,JJ,1,{'JJ'},0,scientif
lawfully,5,3.646254931559795e-05,14.743225042066996,8,RB,1,{'RB'},0,law
marvelous,5,3.646254931559795e-05,14.743225042066996,9,JJ,1,{'JJ'},0,marvel
voluntary,5,3.646254931559795e-05,14.743225042066996,9,JJ,1,{'JJ'},0,voluntari
abilities,5,3.646254931559795e-05,14.743225042066996,9,NNS,1,{'NNS'},0,abil
manage,5,3.646254931559795e-05,14.743225042066996,6,VB,1,{'VB'},0,manag
trusting,5,3.646254931559795e-05,14.743225042066996,8,VBG,1,{'VBG'},0,trust
corporations,5,3.646254931559795e-05,14.743225042066996,12,NNS,2,"{'NNS', 'NNP'}",0,corpor
inadequate,5,3.646254931559795e-05,14.743225042066996,10,JJ,2,"{'NN', 'JJ'}",0,inadequ
frame,5,3.646254931559795e-05,14.743225042066996,5,NN,2,"{'NN', 'VB'}",0,frame
enlarge,5,3.646254931559795e-05,14.743225042066996,7,VB,1,{'VB'},0,enlarg
skill,5,3.646254931559795e-05,14.743225042066996,5,NN,1,{'NN'},0,skill
paths,5,3.646254931559795e-05,14.743225042066996,5,NNS,1,{'NNS'},0,path
aboriginal,5,3.646254931559795e-05,14.743225042066996,10,JJ,1,{'JJ'},0,aborigin
pleasing,5,3.646254931559795e-05,14.743225042066996,8,NN,3,"{'NN', 'VBG', 'JJ'}",0,pleas
domain,5,3.646254931559795e-05,14.743225042066996,6,NN,1,{'NN'},0,domain
edge,5,3.646254931559795e-05,14.743225042066996,4,NN,1,{'NN'},0,edg
metals,5,3.646254931559795e-05,14.743225042066996,6,NNS,1,{'NNS'},0,metal
springs,5,3.646254931559795e-05,14.743225042066996,7,NNS,2,"{'NNS', 'VBZ'}",0,spring
driven,5,3.646254931559795e-05,14.743225042066996,6,VBN,2,"{'VBN', 'JJ'}",0,driven
brave,5,3.646254931559795e-05,14.743225042066996,5,NN,2,"{'NN', 'VBP'}",0,brave
morals,5,3.646254931559795e-05,14.743225042066996,6,NNS,1,{'NNS'},0,moral
amply,5,3.646254931559795e-05,14.743225042066996,5,RB,2,"{'NN', 'RB'}",0,ampli
repeated,5,3.646254931559795e-05,14.743225042066996,8,VBN,1,{'VBN'},0,repeat
furnished,5,3.646254931559795e-05,14.743225042066996,9,VBN,2,"{'VBD', 'VBN'}",0,furnish
duration,5,3.646254931559795e-05,14.743225042066996,8,NN,1,{'NN'},0,durat
majesty,5,3.646254931559795e-05,14.743225042066996,7,NN,2,"{'NN', 'NNP'}",0,majesti
altered,5,3.646254931559795e-05,14.743225042066996,7,VBN,2,"{'VBN', 'JJ'}",0,alter
arrest,5,3.646254931559795e-05,14.743225042066996,6,VB,1,{'VB'},0,arrest
earliest,5,3.646254931559795e-05,14.743225042066996,8,JJS,1,{'JJS'},0,earliest
type,5,3.646254931559795e-05,14.743225042066996,4,NN,1,{'NN'},0,type
conscientious,5,3.646254931559795e-05,14.743225042066996,13,JJ,1,{'JJ'},0,conscienti
jealous,5,3.646254931559795e-05,14.743225042066996,7,JJ,2,"{'NNP', 'JJ'}",0,jealou
awaits,5,3.646254931559795e-05,14.743225042066996,6,VBZ,1,{'VBZ'},0,await
lincoln,5,3.646254931559795e-05,14.743225042066996,7,NNP,1,{'NNP'},0,lincoln
attempts,5,3.646254931559795e-05,14.743225042066996,8,NNS,1,{'NNS'},0,attempt
impartial,5,3.646254931559795e-05,14.743225042066996,9,JJ,1,{'JJ'},0,imparti
tendencies,5,3.646254931559795e-05,14.743225042066996,10,NNS,1,{'NNS'},0,tendenc
interested,5,3.646254931559795e-05,14.743225042066996,10,JJ,1,{'JJ'},0,interest
endowed,5,3.646254931559795e-05,14.743225042066996,7,VBN,2,"{'RB', 'VBN'}",0,endow
church,5,3.646254931559795e-05,14.743225042066996,6,NN,2,"{'NN', 'NNP'}",0,church
heroic,5,3.646254931559795e-05,14.743225042066996,6,JJ,2,"{'NN', 'JJ'}",0,heroic
brings,5,3.646254931559795e-05,14.743225042066996,6,VBZ,1,{'VBZ'},0,bring
competency,5,3.646254931559795e-05,14.743225042066996,10,NN,1,{'NN'},0,compet
air,5,3.646254931559795e-05,14.743225042066996,3,NN,1,{'NN'},0,air
volume,5,3.646254931559795e-05,14.743225042066996,6,NN,1,{'NN'},0,volum
pretense,5,3.646254931559795e-05,14.743225042066996,8,NN,1,{'NN'},0,pretens
pretensions,5,3.646254931559795e-05,14.743225042066996,11,NNS,1,{'NNS'},0,pretens
bosom,5,3.646254931559795e-05,14.743225042066996,5,NN,1,{'NN'},0,bosom
improved,5,3.646254931559795e-05,14.743225042066996,8,VBN,1,{'VBN'},0,improv
seaboard,5,3.646254931559795e-05,14.743225042066996,8,NN,1,{'NN'},0,seaboard
pleasure,5,3.646254931559795e-05,14.743225042066996,8,NN,1,{'NN'},0,pleasur
corresponding,5,3.646254931559795e-05,14.743225042066996,13,JJ,2,"{'VBG', 'JJ'}",0,correspond
subordinate,5,3.646254931559795e-05,14.743225042066996,11,JJ,2,"{'NN', 'JJ'}",0,subordin
founding,5,3.646254931559795e-05,14.743225042066996,8,NN,3,"{'NN', 'NNP', 'VBG'}",0,found
parent,5,3.646254931559795e-05,14.743225042066996,6,NN,1,{'NN'},0,parent
theirs,5,3.646254931559795e-05,14.743225042066996,6,NN,4,"{'NN', 'PRP', 'NNS', 'JJ'}",1,their
going,5,3.646254931559795e-05,14.743225042066996,5,VBG,1,{'VBG'},0,go
faced,5,3.646254931559795e-05,14.743225042066996,5,VBN,2,"{'VBD', 'VBN'}",0,face
deficiency,5,3.646254931559795e-05,14.743225042066996,10,NN,1,{'NN'},0,defici
estimate,5,3.646254931559795e-05,14.743225042066996,8,NN,2,"{'NN', 'VB'}",0,estim
replace,5,3.646254931559795e-05,14.743225042066996,7,VB,1,{'VB'},0,replac
attainment,5,3.646254931559795e-05,14.743225042066996,10,NN,1,{'NN'},0,attain
federative,5,3.646254931559795e-05,14.743225042066996,10,JJ,1,{'JJ'},0,feder
association,5,3.646254931559795e-05,14.743225042066996,11,NN,2,"{'NN', 'NNP'}",0,associ
venture,5,3.646254931559795e-05,14.743225042066996,7,NN,1,{'NN'},0,ventur
commitments,5,3.646254931559795e-05,14.743225042066996,11,NNS,1,{'NNS'},0,commit
reposed,5,3.646254931559795e-05,14.743225042066996,7,VBN,2,"{'VBD', 'VBN'}",0,repos
tide,5,3.646254931559795e-05,14.743225042066996,4,NN,1,{'NN'},0,tide
total,5,3.646254931559795e-05,14.743225042066996,5,JJ,2,"{'NN', 'JJ'}",0,total
kindly,5,3.646254931559795e-05,14.743225042066996,6,RB,1,{'RB'},0,kindli
hatred,5,3.646254931559795e-05,14.743225042066996,6,VBN,4,"{'NN', 'VBD', 'VBN', 'JJ'}",0,hatr
secondary,5,3.646254931559795e-05,14.743225042066996,9,JJ,2,"{'VBP', 'JJ'}",0,secondari
marched,5,3.646254931559795e-05,14.743225042066996,7,VBN,2,"{'VBD', 'VBN'}",0,march
eight,5,3.646254931559795e-05,14.743225042066996,5,CD,1,{'CD'},0,eight
authorized,5,3.646254931559795e-05,14.743225042066996,10,VBN,2,"{'VBN', 'JJ'}",0,author
corruption,5,3.646254931559795e-05,14.743225042066996,10,NN,1,{'NN'},0,corrupt
mark,5,3.646254931559795e-05,14.743225042066996,4,NN,2,"{'NN', 'VBP'}",0,mark
exhibited,5,3.646254931559795e-05,14.743225042066996,9,VBN,1,{'VBN'},0,exhibit
safeguards,5,3.646254931559795e-05,14.743225042066996,10,NNS,1,{'NNS'},0,safeguard
regulated,5,3.646254931559795e-05,14.743225042066996,9,VBN,2,"{'VBD', 'VBN'}",0,regul
groups,5,3.646254931559795e-05,14.743225042066996,6,NNS,1,{'NNS'},0,group
pretext,5,3.646254931559795e-05,14.743225042066996,7,NN,1,{'NN'},0,pretext
brethren,5,3.646254931559795e-05,14.743225042066996,8,NNS,1,{'NNS'},0,brethren
republicans,5,3.646254931559795e-05,14.743225042066996,11,NNPS,2,"{'NNS', 'NNPS'}",0,republican
introduced,5,3.646254931559795e-05,14.743225042066996,10,VBN,2,"{'VBD', 'VBN'}",0,introduc
uncertainty,5,3.646254931559795e-05,14.743225042066996,11,NN,1,{'NN'},0,uncertainti
proofs,5,3.646254931559795e-05,14.743225042066996,6,NN,2,"{'NN', 'NNS'}",0,proof
questioned,5,3.646254931559795e-05,14.743225042066996,10,VBN,1,{'VBN'},0,question
neutral,5,3.646254931559795e-05,14.743225042066996,7,JJ,1,{'JJ'},0,neutral
frankly,5,3.646254931559795e-05,14.743225042066996,7,RB,3,"{'VB', 'RB', 'VBP'}",0,frankli
unlimited,5,3.646254931559795e-05,14.743225042066996,9,JJ,1,{'JJ'},0,unlimit
momentous,5,3.646254931559795e-05,14.743225042066996,9,JJ,1,{'JJ'},0,moment
ancestors,5,3.646254931559795e-05,14.743225042066996,9,NNS,1,{'NNS'},0,ancestor
decided,5,3.646254931559795e-05,14.743225042066996,7,VBN,2,"{'VBD', 'VBN'}",0,decid
whatsoever,5,3.646254931559795e-05,14.743225042066996,10,NN,5,"{'RB', 'NNP', 'WP', 'NN', 'VBD'}",0,whatsoev
comprehend,5,3.646254931559795e-05,14.743225042066996,10,VB,2,"{'VB', 'VBP'}",0,comprehend
permitting,5,3.646254931559795e-05,14.743225042066996,10,VBG,1,{'VBG'},0,permit
dread,5,3.646254931559795e-05,14.743225042066996,5,NN,3,"{'NN', 'VBP', 'VB'}",0,dread
splendid,5,3.646254931559795e-05,14.743225042066996,8,JJ,2,"{'NNP', 'JJ'}",0,splendid
regulate,5,3.646254931559795e-05,14.743225042066996,8,VB,1,{'VB'},0,regul
exertions,5,3.646254931559795e-05,14.743225042066996,9,NNS,1,{'NNS'},0,exert
aspect,5,3.646254931559795e-05,14.743225042066996,6,NN,1,{'NN'},0,aspect
sympathies,5,3.646254931559795e-05,14.743225042066996,10,NNS,1,{'NNS'},0,sympathi
helping,5,3.646254931559795e-05,14.743225042066996,7,VBG,1,{'VBG'},0,help
corrected,5,3.646254931559795e-05,14.743225042066996,9,VBN,1,{'VBN'},0,correct
storm,5,3.646254931559795e-05,14.743225042066996,5,NN,1,{'NN'},0,storm
rank,5,3.646254931559795e-05,14.743225042066996,4,NN,1,{'NN'},0,rank
believes,5,3.646254931559795e-05,14.743225042066996,8,VBZ,1,{'VBZ'},0,believ
resulting,5,3.646254931559795e-05,14.743225042066996,9,VBG,1,{'VBG'},0,result
salutary,5,3.646254931559795e-05,14.743225042066996,8,JJ,1,{'JJ'},0,salutari
door,5,3.646254931559795e-05,14.743225042066996,4,NN,1,{'NN'},0,door
summon,5,3.646254931559795e-05,14.743225042066996,6,VB,2,"{'VB', 'VBP'}",0,summon
confined,5,3.646254931559795e-05,14.743225042066996,8,VBN,2,"{'VBD', 'VBN'}",0,confin
inestimable,5,3.646254931559795e-05,14.743225042066996,11,JJ,1,{'JJ'},0,inestim
blind,5,3.646254931559795e-05,14.743225042066996,5,VBN,4,"{'VBP', 'IN', 'VBN', 'JJ'}",0,blind
invites,5,3.646254931559795e-05,14.743225042066996,7,VBZ,1,{'VBZ'},0,invit
contains,5,3.646254931559795e-05,14.743225042066996,8,VBZ,1,{'VBZ'},0,contain
transactions,5,3.646254931559795e-05,14.743225042066996,12,NNS,1,{'NNS'},0,transact
leaving,5,3.646254931559795e-05,14.743225042066996,7,VBG,1,{'VBG'},0,leav
suppression,5,3.646254931559795e-05,14.743225042066996,11,NN,1,{'NN'},0,suppress
procedure,5,3.646254931559795e-05,14.743225042066996,9,NN,1,{'NN'},0,procedur
defects,5,3.646254931559795e-05,14.743225042066996,7,NNS,1,{'NNS'},0,defect
adverse,5,3.646254931559795e-05,14.743225042066996,7,JJ,2,"{'NN', 'JJ'}",0,advers
dependent,5,3.646254931559795e-05,14.743225042066996,9,JJ,3,"{'NN', 'VB', 'JJ'}",0,depend
ruin,5,3.646254931559795e-05,14.743225042066996,4,NN,2,"{'NN', 'VB'}",0,ruin
deserving,5,3.646254931559795e-05,14.743225042066996,9,VBG,3,"{'NN', 'VBG', 'JJ'}",0,deserv
distance,5,3.646254931559795e-05,14.743225042066996,8,NN,1,{'NN'},0,distanc
impartiality,4,2.917003945247836e-05,15.06515313695436,12,NN,1,{'NN'},0,imparti
aimed,4,2.917003945247836e-05,15.06515313695436,5,VBN,2,"{'VBD', 'VBN'}",0,aim
mothers,4,2.917003945247836e-05,15.06515313695436,7,NNS,1,{'NNS'},0,mother
valor,4,2.917003945247836e-05,15.06515313695436,5,NN,1,{'NN'},0,valor
retrospect,4,2.917003945247836e-05,15.06515313695436,10,NN,2,"{'NN', 'NNP'}",0,retrospect
troops,4,2.917003945247836e-05,15.06515313695436,6,NNS,1,{'NNS'},0,troop
requirements,4,2.917003945247836e-05,15.06515313695436,12,NNS,1,{'NNS'},0,requir
mistake,4,2.917003945247836e-05,15.06515313695436,7,NN,2,"{'NN', 'VB'}",0,mistak
economically,4,2.917003945247836e-05,15.06515313695436,12,RB,1,{'RB'},0,econom
modes,4,2.917003945247836e-05,15.06515313695436,5,NNS,1,{'NNS'},0,mode
bodies,4,2.917003945247836e-05,15.06515313695436,6,NNS,1,{'NNS'},0,bodi
actually,4,2.917003945247836e-05,15.06515313695436,8,RB,1,{'RB'},0,actual
convene,4,2.917003945247836e-05,15.06515313695436,7,VB,1,{'VB'},0,conven
risk,4,2.917003945247836e-05,15.06515313695436,4,NN,3,"{'NN', 'VBP', 'VB'}",0,risk
glad,4,2.917003945247836e-05,15.06515313695436,4,JJ,1,{'JJ'},0,glad
heed,4,2.917003945247836e-05,15.06515313695436,4,VB,1,{'VB'},0,heed
wider,4,2.917003945247836e-05,15.06515313695436,5,JJR,2,"{'NN', 'JJR'}",0,wider
troubles,4,2.917003945247836e-05,15.06515313695436,8,NNS,1,{'NNS'},0,troubl
manifestation,4,2.917003945247836e-05,15.06515313695436,13,NN,1,{'NN'},0,manifest
equivalent,4,2.917003945247836e-05,15.06515313695436,10,NN,2,"{'NN', 'JJ'}",0,equival
inquiry,4,2.917003945247836e-05,15.06515313695436,7,NN,1,{'NN'},0,inquiri
affirm,4,2.917003945247836e-05,15.06515313695436,6,VB,2,"{'VB', 'VBP'}",0,affirm
presents,4,2.917003945247836e-05,15.06515313695436,8,VBZ,1,{'VBZ'},0,present
defect,4,2.917003945247836e-05,15.06515313695436,6,NN,1,{'NN'},0,defect
eventually,4,2.917003945247836e-05,15.06515313695436,10,RB,1,{'RB'},0,eventu
obstacles,4,2.917003945247836e-05,15.06515313695436,9,NNS,1,{'NNS'},0,obstacl
impairing,4,2.917003945247836e-05,15.06515313695436,9,VBG,1,{'VBG'},0,impair
satisfy,4,2.917003945247836e-05,15.06515313695436,7,VB,1,{'VB'},0,satisfi
ills,4,2.917003945247836e-05,15.06515313695436,4,NNS,1,{'NNS'},0,ill
anticipate,4,2.917003945247836e-05,15.06515313695436,10,VB,3,"{'VB', 'VBP', 'JJ'}",0,anticip
entangling,4,2.917003945247836e-05,15.06515313695436,10,VBG,1,{'VBG'},0,entangl
unborn,4,2.917003945247836e-05,15.06515313695436,6,JJ,2,"{'NN', 'JJ'}",0,unborn
suggestion,4,2.917003945247836e-05,15.06515313695436,10,NN,1,{'NN'},0,suggest
wicked,4,2.917003945247836e-05,15.06515313695436,6,VBD,3,"{'NN', 'VBD', 'JJ'}",0,wick
failures,4,2.917003945247836e-05,15.06515313695436,8,NNS,1,{'NNS'},0,failur
mockery,4,2.917003945247836e-05,15.06515313695436,7,NN,1,{'NN'},0,mockeri
customs,4,2.917003945247836e-05,15.06515313695436,7,NNS,1,{'NNS'},0,custom
diffidence,4,2.917003945247836e-05,15.06515313695436,10,NN,1,{'NN'},0,diffid
paying,4,2.917003945247836e-05,15.06515313695436,6,VBG,1,{'VBG'},0,pay
watchful,4,2.917003945247836e-05,15.06515313695436,8,JJ,2,"{'NN', 'JJ'}",0,watch
closely,4,2.917003945247836e-05,15.06515313695436,7,RB,1,{'RB'},0,close
secede,4,2.917003945247836e-05,15.06515313695436,6,VB,2,"{'VB', 'RB'}",0,seced
outline,4,2.917003945247836e-05,15.06515313695436,7,NN,1,{'NN'},0,outlin
qualities,4,2.917003945247836e-05,15.06515313695436,9,NNS,1,{'NNS'},0,qualiti
educated,4,2.917003945247836e-05,15.06515313695436,8,VBN,1,{'VBN'},0,educ
black,4,2.917003945247836e-05,15.06515313695436,5,JJ,1,{'JJ'},0,black
devise,4,2.917003945247836e-05,15.06515313695436,6,VB,1,{'VB'},0,devis
aristocracy,4,2.917003945247836e-05,15.06515313695436,11,NN,1,{'NN'},0,aristocraci
worship,4,2.917003945247836e-05,15.06515313695436,7,NN,1,{'NN'},0,worship
intimate,4,2.917003945247836e-05,15.06515313695436,8,JJ,3,"{'VB', 'NN', 'JJ'}",0,intim
payments,4,2.917003945247836e-05,15.06515313695436,8,NNS,1,{'NNS'},0,payment
resulted,4,2.917003945247836e-05,15.06515313695436,8,VBN,1,{'VBN'},0,result
perpetuity,4,2.917003945247836e-05,15.06515313695436,10,NN,1,{'NN'},0,perpetu
manhood,4,2.917003945247836e-05,15.06515313695436,7,NN,1,{'NN'},0,manhood
confer,4,2.917003945247836e-05,15.06515313695436,6,VB,2,"{'VB', 'VBP'}",0,confer
obey,4,2.917003945247836e-05,15.06515313695436,4,VB,2,"{'VB', 'VBP'}",0,obey
guardianship,4,2.917003945247836e-05,15.06515313695436,12,NN,1,{'NN'},0,guardianship
discussions,4,2.917003945247836e-05,15.06515313695436,11,NNS,1,{'NNS'},0,discuss
voters,4,2.917003945247836e-05,15.06515313695436,6,NNS,1,{'NNS'},0,voter
habit,4,2.917003945247836e-05,15.06515313695436,5,NN,1,{'NN'},0,habit
destroyed,4,2.917003945247836e-05,15.06515313695436,9,VBN,2,"{'VBD', 'VBN'}",0,destroy
endurance,4,2.917003945247836e-05,15.06515313695436,9,NN,1,{'NN'},0,endur
nobility,4,2.917003945247836e-05,15.06515313695436,8,NN,1,{'NN'},0,nobil
abandonment,4,2.917003945247836e-05,15.06515313695436,11,NN,1,{'NN'},0,abandon
compared,4,2.917003945247836e-05,15.06515313695436,8,VBN,1,{'VBN'},0,compar
comprehensive,4,2.917003945247836e-05,15.06515313695436,13,JJ,1,{'JJ'},0,comprehens
thanks,4,2.917003945247836e-05,15.06515313695436,6,NNS,1,{'NNS'},0,thank
fifteenth,4,2.917003945247836e-05,15.06515313695436,9,JJ,1,{'JJ'},0,fifteenth
holding,4,2.917003945247836e-05,15.06515313695436,7,VBG,2,"{'NN', 'VBG'}",0,hold
stated,4,2.917003945247836e-05,15.06515313695436,6,JJ,2,"{'VBN', 'JJ'}",0,state
contests,4,2.917003945247836e-05,15.06515313695436,8,NNS,1,{'NNS'},0,contest
hasty,4,2.917003945247836e-05,15.06515313695436,5,JJ,2,"{'NN', 'JJ'}",0,hasti
paternalism,4,2.917003945247836e-05,15.06515313695436,11,NN,1,{'NN'},0,patern
effectual,4,2.917003945247836e-05,15.06515313695436,9,JJ,1,{'JJ'},0,effectu
knows,4,2.917003945247836e-05,15.06515313695436,5,VBZ,3,"{'VBZ', 'NNS', 'VBP'}",0,know
unwisely,4,2.917003945247836e-05,15.06515313695436,8,RB,1,{'RB'},0,unwis
